Pengujian Ke,K,Alpha,Beta,Accuracy
Pengujian Ke- 1,3,0.3,0.1,0.7983606557377049
Pengujian Ke- 2,3,0.3,0.2,0.6065573770491803
Pengujian Ke- 3,3,0.4,0.1,0.6918032786885245
Pengujian Ke- 4,3,0.4,0.2,0.5950819672131148
Pengujian Ke- 5,4,0.3,0.1,0.6065573770491803
Pengujian Ke- 6,4,0.3,0.2,0.8131147540983606
Pengujian Ke- 7,4,0.4,0.1,0.8081967213114755
Pengujian Ke- 8,4,0.4,0.2,0.30983606557377047
Pengujian Ke- 9,5,0.3,0.1,0.6704918032786885
Pengujian Ke- 10,5,0.3,0.2,0.5852459016393443
Pengujian Ke- 11,5,0.4,0.1,0.7688524590163934
Pengujian Ke- 12,5,0.4,0.2,0.8786885245901639
